container,crop,rep,bay,reservoir_size_liters,plant,date,pH,EC,h2o_temp_C,d.o.,plant_height_cm,harvest_fresh_mass_g,harvest_dry_mass_g,PAR_CCT,PAR_CRI (Ra),PAR_DLI,PAR_ä½D (380~780 nm),PAR_ä½p (380~780 nm),PAR_Illuminance,PAR_PPFD (400 - 700 nm),PAR_PPFD B (400 - 499 nm),PAR_PPFD FR (701 - 780 nm),PAR_PPFD G (500 - 599 nm),PAR_PPFD R (600 - 700 nm),PAR_PPFD UV (380 - 399 nm),PAR_R/B,PAR_R/FR,PAR_YPFD (380 - 780 nm),PAR_YPFD (400 - 700 nm),PAR_YPFD B (400 - 499 nm),PAR_YPFD FR (701 - 780 nm),PAR_YPFD G (500 - 599 nm),PAR_YPFD R (600 - 700 nm),PAR_YPFD UV (380 - 399 nm),solution_K_ppmK,solution_Ca_ppmCA,solution_Mg_ppmMg,solution_Na_ppmNa,solution_P_ppmN,solution_S_ppmS,solution_Cl_ppmCl,solution_NH4N_ppmNH4N,solution_NO3N_ppmNO3N,solution_ALK_ppmCaCO3,solution_pH,solution_EC,solution_Urea_ppmurea,solution_Fe_ppm_Fe,solution_Mn_ppmMn,solution_B_ppmB,solution_Cu_ppmCu,solution_Zn_ppmAn,solution_Mo_ppmMo,solution_Al_ppmAl,tissue_N_%,tissue_P_%,tissue_K_%,tissue_Ca_%,tissue_Mg_%,tissue_S_ppm,tissue_Fe_ppm,tissue_Mn_ppm,tissue_B_ppm,tissue_Cu_ppm,tissue_Zn_ppm,tissue_Mo_ppm,tissue_Na_ppm,tissue_Al_ppm
FS2,basil,2,210,150,1006,20181029,6.1,2.2,26,NA,17.5,NA,NA,0,0,25.181,0,663,4974,291.44,83.828,5.535,16.022,191.61,0.1964,2.29,34.62,253.62,252.32,61.355,1.1856,14.14,176.84,0.1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1007,20181029,6.1,2.2,26,NA,21,NA,NA,0,0,29.515,0,663,5850,341.6,90.623,6.1199,19.056,231.94,0.2331,2.56,37.9,298.59,297.07,66.342,1.3787,16.845,213.91,0.1387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1008,20181029,6.1,2.2,26,NA,23,NA,NA,0,0,36.995,0,663,7432,428.18,118,7.8915,24.391,285.82,0.3075,2.42,36.22,373.42,371.47,86.391,1.7615,21.562,263.55,0.1798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1009,20181029,6.1,2.2,26,NA,24,NA,NA,0,0,38.913,0,663,7832,450.38,130.43,8.3033,25.591,294.39,0.3272,2.26,35.45,391.64,389.61,95.514,1.8226,22.612,271.53,0.1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1010,20181029,6.1,2.2,26,NA,13,NA,NA,0,0,26.859,0,663,5527,310.86,89.814,5.4613,18.844,202.22,0.2183,2.25,37.03,270.37,269.02,65.751,1.2256,16.658,186.63,0.1297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1011,20181029,6.1,2.2,26,NA,15,NA,NA,0,0,26.785,0,663,5593,310.01,85.971,5.5582,19.295,204.76,0.2522,2.38,36.84,270.34,268.93,62.925,1.2657,17.061,188.96,0.1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1012,20181029,6.1,2.2,26,NA,22,NA,NA,0,0,30.824,0,663,6356,356.76,102.34,5.9125,21.569,232.87,0.2423,2.28,39.39,310.35,308.84,74.895,1.3706,19.065,214.91,0.1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1013,20181029,6.1,2.2,26,NA,18,NA,NA,0,0,25.568,0,663,5058,295.93,79.022,5.5724,16.452,200.47,0.2213,2.54,35.97,258.58,257.24,57.855,1.2071,14.536,184.87,0.1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1014,20181029,6.1,2.2,26,NA,21,NA,NA,0,0,29.319,0,663,5778,339.34,91.306,6.0396,18.68,229.37,0.2155,2.51,37.98,296.41,294.93,66.855,1.3478,16.518,211.59,0.1279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1015,20181029,6.1,2.2,26,NA,20,NA,NA,0,0,28.948,0,663,5856,335.05,92.944,6.1348,19.5,222.62,0.2265,2.4,36.29,292.22,290.73,68.057,1.3449,17.241,205.46,0.1352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1016,20181029,6.1,2.2,26,NA,20,NA,NA,0,0,27.871,0,663,5580,322.58,90.174,5.9558,18.421,214,0.2828,2.37,35.93,281.16,279.7,66.012,1.2946,16.278,197.43,0.1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1017,20181029,6.1,2.2,26,NA,11.5,NA,NA,0,0,19.786,0,663,4042,229.01,67.133,4.1874,13.577,148.31,0.208,2.21,35.42,199.02,197.99,49.132,0.9078,11.992,136.89,0.1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1018,20181029,6.1,2.2,26,NA,23,NA,NA,0,0,26.878,0,663,5316,311.08,88.755,5.2119,17.211,205.14,0.1911,2.31,39.36,270.69,269.39,64.956,1.1915,15.209,189.25,0.1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
